Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Wifi & Connectivity,Aircraft
Couple Leisure,Economy Class,London to Paris,July 2021,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Business,Business Class,Miami to Paris,June 2022,3.0,4.0,4.0,2.0,3.0,1,no,1.0,
Family Leisure,Economy Class,Edmonton to Cairo,June 2022,2.0,2.0,1.0,1.0,1.0,2,no,1.0,
Couple Leisure,Premium Economy,Amsterdam to Montreal via London,June 2022,2.0,2.0,2.0,2.0,2.0,2,no,2.0,
Solo Leisure,Economy Class,Hong Kong to London,April 2022,,,,,,1,no,,
Family Leisure,Economy Class,Belfast to London,June 2022,3.0,1.0,2.0,,1.0,1,no,,
Business,Economy Class,London to Johannesburg,June 2022,1.0,4.0,1.0,2.0,3.0,2,no,1.0,A350
Couple Leisure,Economy Class,Paris CDG to London Heathrow,June 2022,1.0,4.0,1.0,1.0,2.0,1,no,1.0,A320
Couple Leisure,Business Class,Portland to London,June 2022,2.0,4.0,2.0,2.0,4.0,2,no,,
Business,Business Class,London to Malaga,June 2022,3.0,2.0,2.0,,2.0,3,no,3.0,A320
Couple Leisure,Economy Class,Boston to Edinburgh via Heathrow,June 2022,1.0,4.0,4.0,3.0,1.0,1,no,1.0,
Couple Leisure,Economy Class,Edmonton to Santorini via Toronto / London,June 2022,1.0,1.0,,,1.0,1,no,,
Solo Leisure,Economy Class,Vancouver to London,June 2022,1.0,2.0,1.0,3.0,2.0,3,no,,A380
Couple Leisure,Business Class,London to san Francisco,June 2022,4.0,4.0,3.0,5.0,2.0,4,yes,4.0,Boeing 777-200
Business,Economy Class,London to Amsterdam,June 2022,2.0,2.0,,,2.0,1,no,,
Couple Leisure,Premium Economy,Cancun to London Gatwick,June 2022,4.0,3.0,2.0,4.0,3.0,3,no,,Boeing 777
Couple Leisure,Economy Class,Phoenix to Hamburg via London,June 2022,2.0,2.0,3.0,4.0,1.0,1,no,,
Family Leisure,Business Class,Dallas Fort-Worth to Toulouse via London,June 2022,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Couple Leisure,Business Class,London to Thira,June 2022,5.0,5.0,5.0,,5.0,5,yes,,A320
Family Leisure,Economy Class,Islamabad to Manchester via Gatwick,April 2022,5.0,5.0,5.0,,5.0,4,yes,,
Solo Leisure,Business Class,Vancouver to London,June 2022,4.0,5.0,3.0,4.0,2.0,5,yes,4.0,A380
Business,Economy Class,London to Boston,May 2022,4.0,5.0,5.0,,5.0,3,yes,5.0,Boeing 777-300ER
Solo Leisure,Economy Class,Johannesburg to Toronto via London,May 2022,4.0,4.0,4.0,,4.0,3,yes,1.0,
Couple Leisure,Economy Class,Zurich to London,February 2022,,,,,1.0,1,no,,
Couple Leisure,Business Class,Johannesburg to London Heathrow,April 2022,4.0,4.0,3.0,,3.0,3,yes,,Boeing 777
Couple Leisure,Business Class,Miami to Zurich via London,May 2022,4.0,3.0,3.0,4.0,1.0,1,no,,
Family Leisure,Economy Class,Bridgetown to London ,May 2022,1.0,5.0,1.0,3.0,3.0,1,no,,Boeing 777-300
Family Leisure,Business Class,London to Malaga,May 2022,,,,,,2,no,,
Couple Leisure,Business Class,Dubrovnik to London,May 2022,2.0,2.0,1.0,,4.0,1,no,,
Couple Leisure,Economy Class,Amsterdam to London,May 2022,2.0,1.0,1.0,,1.0,1,no,,
Business,Economy Class,Columbus to Nairobi via Chicago / London,May 2022,,,,,,1,no,,
Solo Leisure,Economy Class,London to Geneva,March 2022,,,,,,1,no,,
Solo Leisure,Business Class,London to Mauritius,March 2022,,,,,1.0,1,no,,
Solo Leisure,Economy Class,London Heathrow to Malaga,May 2022,3.0,2.0,1.0,1.0,1.0,3,no,1.0,A320
Solo Leisure,Economy Class,Basel to Johannesburg via London,May 2022,1.0,2.0,2.0,2.0,1.0,2,no,1.0,
Couple Leisure,Business Class,Athens to London,May 2022,2.0,4.0,3.0,,3.0,2,no,2.0,A320
Solo Leisure,Premium Economy,London to Mexico City,April 2022,5.0,4.0,4.0,3.0,4.0,4,yes,,Boeing 787
Business,Economy Class,Glasgow to New York,May 2022,3.0,4.0,4.0,4.0,1.0,1,no,4.0,
Solo Leisure,Economy Class,London Heathrow to Los Angeles,May 2022,1.0,5.0,,,4.0,1,no,,
Solo Leisure,Premium Economy,Dubai to Milan Malpensa via London,May 2022,5.0,5.0,5.0,5.0,5.0,5,yes,3.0,Boeing 777
Solo Leisure,Economy Class,Los Angeles to London,May 2022,,,,,,1,no,,
Solo Leisure,Economy Class,London to Cape Town,April 2022,2.0,1.0,2.0,,1.0,1,no,,Boeing 777
Solo Leisure,Economy Class,São Paulo to Milan via London,April 2022,5.0,5.0,5.0,5.0,5.0,5,yes,5.0,
Family Leisure,Business Class,Madrid to London Heathrow,April 2022,3.0,5.0,5.0,,5.0,4,yes,,A321 Neo
Couple Leisure,Business Class,Dubrovnik to London Heathrow,April 2022,4.0,5.0,5.0,,5.0,5,yes,,A320
Business,Business Class,London to Aberdeen,April 2022,1.0,2.0,1.0,,3.0,1,no,,
Solo Leisure,Business Class,Pisa to London Heathrow,March 2022,1.0,1.0,1.0,1.0,1.0,1,no,1.0,A320
Couple Leisure,Economy Class,Johannesburg to Durban,April 2022,1.0,1.0,1.0,,1.0,1,no,,Boeing 737 800
Couple Leisure,Economy Class,Gothenburg to Manchester via London,April 2022,3.0,3.0,1.0,,1.0,1,no,1.0,A320
Solo Leisure,Business Class,Chicago to London,March 2022,5.0,5.0,5.0,4.0,3.0,4,yes,,Boeing 787
Couple Leisure,Economy Class,Riyadh to Nice via London,April 2022,2.0,3.0,2.0,3.0,1.0,2,no,,
Couple Leisure,Business Class,London to Glasgow,April 2022,,,,,,1,no,,
Family Leisure,Economy Class,Glasgow to Washington via London,April 2022,4.0,5.0,4.0,3.0,4.0,3,yes,3.0,A380
Business,Business Class,Malaga to London,April 2022,2.0,4.0,2.0,,2.0,2,no,1.0,A320neo
Couple Leisure,Economy Class,Nice to Dallas via London,April 2022,5.0,5.0,4.0,5.0,5.0,4,yes,5.0,
Solo Leisure,Economy Class,London to Paris,March 2022,1.0,1.0,1.0,,1.0,3,no,,
Couple Leisure,Business Class,Phoenix to Paris via London,April 2022,3.0,2.0,2.0,1.0,2.0,2,no,,A320 / Boeing 777
Business,Business Class,Phoenix to London Heathrow,April 2022,5.0,5.0,5.0,5.0,4.0,5,yes,3.0,Boeing 777-200
Couple Leisure,Economy Class,Santorini to Los Angeles via London,April 2022,1.0,1.0,1.0,,1.0,1,no,,
Family Leisure,Business Class,London to Tokyo,June 2022,,,,,,1,no,,
Solo Leisure,Business Class,Edinburgh to London City,April 2022,5.0,5.0,5.0,,5.0,4,yes,,Embraer
Solo Leisure,Business Class,Vancouver to London,March 2022,4.0,4.0,4.0,4.0,2.0,5,yes,5.0,Boeing 777-200ER
Couple Leisure,Business Class,London to Venice,March 2022,2.0,4.0,2.0,,2.0,3,yes,,A319
Business,Business Class,London to Barcelona,April 2022,1.0,1.0,1.0,,1.0,1,no,,A320
Couple Leisure,Business Class,Barbados to Heathrow,March 2022,2.0,3.0,3.0,1.0,4.0,3,yes,,Boeing 777
Business,Economy Class,Heathrow to Bologna,April 2022,1.0,1.0,,,1.0,1,no,,
Business,Business Class,Geneva to London,April 2022,4.0,5.0,4.0,,1.0,4,no,3.0,A320
Solo Leisure,Economy Class,London to Singapore,April 2022,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Couple Leisure,Business Class,London to Barbados,March 2022,4.0,5.0,4.0,2.0,4.0,4,yes,,Boeing 777
Couple Leisure,Business Class,Cape Town to London Heathrow,March 2022,3.0,3.0,1.0,,3.0,1,no,,Boeing 777
Couple Leisure,Economy Class,Sydney to Heathrow,March 2022,3.0,1.0,1.0,1.0,2.0,4,no,,
Business,Business Class,London to Malaga,March 2022,2.0,1.0,2.0,1.0,1.0,1,no,,A320
Couple Leisure,Economy Class,Austin to London via Dublin,March 2022,2.0,1.0,2.0,,1.0,1,no,,
Couple Leisure,Business Class,Cape Town to London,March 2022,2.0,1.0,1.0,2.0,3.0,2,no,,Boeing 777-200
Couple Leisure,Economy Class,London Heathrow to Funchal,March 2022,3.0,3.0,1.0,,1.0,3,no,,
Couple Leisure,Economy Class,Gatwick to Antalya,March 2022,,,,,,1,no,,
Couple Leisure,Economy Class,London to Austin,March 2022,4.0,1.0,1.0,1.0,1.0,3,no,,Boeing 787-9
Couple Leisure,Premium Economy,Dubai to Heathrow,March 2022,3.0,2.0,1.0,3.0,4.0,2,no,,
Solo Leisure,First Class,Singapore to London,March 2022,5.0,1.0,1.0,4.0,2.0,2,no,,Boeing 787-900
Family Leisure,Economy Class,Dublin to Dubai via London,March 2022,3.0,4.0,3.0,1.0,3.0,3,no,,A350
Couple Leisure,Economy Class,London Heathrow to Cairo,February 2022,1.0,3.0,1.0,,1.0,1,no,,
Couple Leisure,Premium Economy,Male to London,March 2022,4.0,2.0,2.0,3.0,4.0,3,no,,
Business,Economy Class,Copenhagen to London,March 2022,2.0,2.0,1.0,,1.0,1,no,,
Family Leisure,Premium Economy,New York to London,March 2022,1.0,3.0,3.0,3.0,1.0,1,no,,
Business,Business Class,London Heathrow to Sofia,August 2021,3.0,5.0,2.0,,1.0,2,no,1.0,A321-neo
Family Leisure,Economy Class,Athens to Boston via London,October 2021,2.0,3.0,2.0,,1.0,1,no,,
Solo Leisure,Premium Economy,Cape Town to Glasgow via London,February 2022,3.0,3.0,2.0,3.0,2.0,3,yes,,Boeing 777
Business,Business Class,Bangalore to London,March 2022,3.0,4.0,1.0,1.0,2.0,1,no,2.0,
Couple Leisure,Business Class,London to Cape Town,March 2022,3.0,3.0,2.0,1.0,3.0,3,no,,Boeing 777-200
Couple Leisure,Business Class,Lisbon to London,February 2022,1.0,3.0,1.0,,3.0,1,no,,A320
Solo Leisure,Premium Economy,Vancouver to London,February 2022,4.0,5.0,5.0,5.0,4.0,5,yes,4.0,A350
Business,Business Class,London to Malaga,February 2022,3.0,3.0,2.0,,3.0,2,no,3.0,A320
Business,Economy Class,London to Athens,February 2022,2.0,3.0,1.0,,1.0,1,no,,A322
Solo Leisure,Economy Class,London to Edinburgh,February 2022,,,,,1.0,1,no,,
Family Leisure,Business Class,Washington to London,February 2022,4.0,5.0,4.0,4.0,5.0,4,yes,4.0,Boeing 787-9
Couple Leisure,Economy Class,Accra to London ,January 2022,1.0,2.0,1.0,1.0,1.0,1,no,1.0,
Business,Business Class,Dublin to London,February 2022,,,,,,1,no,,A320
Family Leisure,Business Class,London to Washington,February 2022,4.0,5.0,5.0,4.0,5.0,4,yes,5.0,Boeing 787-9
Family Leisure,Business Class,London to Porto,February 2022,,,,,,1,no,,
Solo Leisure,Business Class,Washington to London,December 2021,5.0,5.0,5.0,,4.0,5,yes,,
Couple Leisure,Economy Class,Montréal to Dubai via London,February 2022,,,,,,4,yes,,
Couple Leisure,Business Class,Atlanta to Belfast via Heathrow,January 2022,4.0,5.0,4.0,4.0,5.0,5,yes,,Boeing 787-9
Couple Leisure,Business Class,Cape Town to London Heathrow,January 2022,3.0,4.0,2.0,4.0,3.0,3,yes,,Boeing 777
Couple Leisure,Business Class,London Heathrow to Orlando,January 2022,2.0,4.0,3.0,1.0,3.0,3,no,,Boeing 777
Couple Leisure,Economy Class,London Heathrow to Dubai,January 2022,2.0,1.0,1.0,2.0,1.0,1,no,,A380
Solo Leisure,Economy Class,New York to Newcastle via London,November 2021,3.0,4.0,4.0,4.0,1.0,4,no,,
Couple Leisure,Business Class,Cape Town to Durban,January 2022,3.0,2.0,3.0,,4.0,3,yes,,Boeing 737-800
Solo Leisure,Economy Class,Durban to Cape Town,January 2022,5.0,5.0,5.0,,5.0,5,yes,,
Solo Leisure,Business Class,Bangalore to Detroit via London,January 2022,4.0,2.0,1.0,3.0,1.0,1,no,,
Business,Economy Class,New York to London,January 2022,1.0,1.0,2.0,3.0,1.0,2,no,,
Business,Economy Class,Las Vegas to London ,January 2022,1.0,4.0,1.0,1.0,1.0,1,no,,
Couple Leisure,Business Class,London to Dubai,October 2021,2.0,1.0,1.0,3.0,1.0,1,no,,
Family Leisure,Economy Class,Warsaw to London,December 2021,2.0,4.0,,,1.0,2,no,,
Business,Business Class,Glasgow to London Heathrow,December 2021,2.0,1.0,1.0,,2.0,1,no,,A319
Couple Leisure,Business Class,London to Cape Town,December 2021,3.0,3.0,2.0,5.0,4.0,3,yes,1.0,Boeing 777
Solo Leisure,Premium Economy,London to Tampa,November 2021,1.0,1.0,,,1.0,1,no,,
Solo Leisure,Business Class,Edinburgh to London,December 2021,4.0,5.0,4.0,,5.0,4,yes,5.0,A320-200
Solo Leisure,Business Class,London to Edinburgh,December 2021,4.0,5.0,5.0,,3.0,4,yes,,A320-200
Family Leisure,Economy Class,London Heathrow to Los Angeles,December 2021,1.0,4.0,1.0,1.0,2.0,1,no,,A380
Business,Economy Class,London to St Lucia,December 2021,5.0,5.0,4.0,,5.0,5,yes,,Boeing 777
Couple Leisure,First Class,London to Chicago,November 2021,4.0,5.0,5.0,3.0,4.0,4,yes,5.0,Boeing 787
Solo Leisure,Business Class,London to Istanbul,December 2021,1.0,2.0,3.0,1.0,1.0,2,no,1.0,A320
Couple Leisure,Business Class,Dubai to London Heaathrow,December 2021,4.0,2.0,3.0,4.0,1.0,4,yes,3.0,Boeing 777
Solo Leisure,Economy Class,London to Aberdeen,December 2021,,,,,1.0,1,no,,A320
Couple Leisure,Business Class,London Gatwick to Cancun,December 2021,1.0,5.0,3.0,2.0,5.0,3,no,,Boeing 777
Business,Business Class,Kingston to London,August 2021,1.0,2.0,2.0,3.0,2.0,1,no,1.0,
Family Leisure,Business Class,London to Delhi,January 2021,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Solo Leisure,Economy Class,Washington DC to Moscow via London,December 2021,1.0,1.0,,,1.0,1,no,,
Solo Leisure,Economy Class,Singapore to London,July 2021,3.0,4.0,1.0,3.0,1.0,1,no,,
Family Leisure,Economy Class,Cairo to Portland via London / Seattle,November 2021,,,,,1.0,1,no,,
Business,Business Class,London Heathrow to Paris CDG,November 2021,3.0,4.0,4.0,,1.0,3,no,,A320
Business,Business Class,Manchester to London Heathrow,November 2021,1.0,,,,1.0,2,no,,
Solo Leisure,Business Class,London to Tenerife,November 2021,3.0,2.0,3.0,,4.0,2,no,,A321 neo
Solo Leisure,Business Class,Tenerife to London,November 2021,4.0,5.0,5.0,,4.0,4,yes,,A321 neo
Solo Leisure,Economy Class,Stockholm to London Heathrow,November 2021,1.0,5.0,1.0,,1.0,2,no,,A320
Business,Economy Class,Frankfurt to London,November 2021,,,,,1.0,1,no,,
Couple Leisure,Business Class,London Heathrow to Tenerife South,November 2021,3.0,3.0,1.0,,2.0,1,no,,A320neo
Couple Leisure,Business Class,Heathrow to Tenerife South,November 2021,2.0,5.0,3.0,,3.0,3,yes,,A320 Neo
Solo Leisure,Economy Class,London to Chicago,November 2021,1.0,2.0,2.0,2.0,1.0,1,no,2.0,
Solo Leisure,Economy Class,London to Mexico,October 2021,2.0,3.0,2.0,5.0,2.0,2,no,,
Couple Leisure,Economy Class,Manchester to Nassau via London,October 2021,2.0,2.0,2.0,2.0,1.0,1,no,1.0,Boeing 777
Family Leisure,Economy Class,Mumbai to Dublin via London,November 2021,3.0,2.0,2.0,3.0,2.0,3,no,,
Solo Leisure,Premium Economy,Gibraltar to London,November 2021,4.0,4.0,,,1.0,3,no,,
Business,Economy Class,Belfast to London,November 2021,4.0,5.0,4.0,,4.0,4,yes,,A321
Family Leisure,Business Class,Larnaca to London Heathrow,October 2021,2.0,4.0,2.0,,3.0,3,yes,3.0,A321
Couple Leisure,Business Class,Lisbon to London Heathrow,September 2021,4.0,4.0,4.0,,5.0,4,yes,,A320
Couple Leisure,Premium Economy,Madrid to London,October 2021,4.0,5.0,5.0,4.0,3.0,5,yes,,Boeing 787
Family Leisure,Economy Class,London to Bologna,October 2021,5.0,5.0,3.0,,2.0,4,yes,,A320NEO
Business,Economy Class,London to Alicante,October 2021,1.0,4.0,4.0,,4.0,5,yes,,A321 Neo
Family Leisure,Business Class,London to Larnaca,October 2021,3.0,5.0,3.0,2.0,4.0,4,yes,2.0,A321
Business,Economy Class,Prague to London,October 2021,4.0,5.0,,,1.0,1,no,,A320
Couple Leisure,Economy Class,Male to London,October 2021,5.0,5.0,5.0,5.0,5.0,5,yes,5.0,
Solo Leisure,Premium Economy,London to Toronto,October 2021,3.0,3.0,4.0,4.0,4.0,4,yes,,
Business,Business Class,London to Toronto,October 2021,5.0,5.0,5.0,5.0,5.0,5,yes,5.0,A350
Solo Leisure,Business Class,London Heathrow to Athens Greece,September 2021,2.0,4.0,4.0,3.0,4.0,1,no,4.0,
Solo Leisure,Economy Class,London to Cayman Islands ,November 2020,,,,,,1,no,,
Family Leisure,Economy Class,London to Prague,October 2021,1.0,1.0,1.0,,1.0,2,no,,A320
Couple Leisure,Business Class,Larnaca to London Heathrow,October 2021,3.0,4.0,3.0,,4.0,4,yes,3.0,A321
Couple Leisure,Economy Class,Heathrow to Manchester ,August 2021,,,,,1.0,1,no,,
Business,Business Class,London to Jersey,September 2021,2.0,1.0,,,1.0,1,no,,
Solo Leisure,Premium Economy,Denver to London,October 2021,5.0,5.0,,,5.0,5,yes,,
Business,Economy Class,Belfast to London,September 2021,4.0,3.0,3.0,,4.0,5,yes,,A321
Couple Leisure,Economy Class,Manchester to Aberdeen via Heathrow,August 2021,1.0,1.0,1.0,,1.0,1,no,1.0,A320
Couple Leisure,Business Class,London Heathrow to Tenerife south,September 2021,3.0,1.0,2.0,,1.0,1,no,,
Business,Business Class,London to New York,September 2021,3.0,1.0,1.0,2.0,3.0,4,no,2.0,
Couple Leisure,Business Class,London Heathrow to Larnaca,September 2021,3.0,3.0,3.0,,3.0,3,yes,2.0,A320
Family Leisure,Business Class,London to Lisbon,September 2021,3.0,5.0,4.0,,3.0,4,yes,4.0,A320
Solo Leisure,Economy Class,Frankfurt to London,September 2021,4.0,4.0,1.0,,1.0,1,no,,Embraer
Business,Economy Class,Geneva to Sao Paulo via London,October 2020,,,,,,1,no,,
Family Leisure,Economy Class,Abuja to London,September 2021,,,,,1.0,3,no,,
Business,Business Class,Mykonos to New York via London,August 2021,,,,,,1,no,,
Solo Leisure,Economy Class,Boston to Tirana London,September 2021,2.0,3.0,3.0,3.0,1.0,3,no,,
Couple Leisure,Economy Class,Washington Dulles to London ,August 2021,1.0,1.0,1.0,1.0,1.0,1,no,,
Business,Economy Class,Gatwick to Catania,August 2021,,,,,,1,no,,
Solo Leisure,Economy Class,London to Moscow Domodedovo,August 2021,5.0,4.0,1.0,1.0,3.0,2,yes,1.0,Boeing 787-8
Solo Leisure,Economy Class,London to Athens,August 2021,4.0,5.0,4.0,,5.0,5,yes,5.0,
Family Leisure,Economy Class,London to Corfu,August 2021,4.0,5.0,4.0,4.0,4.0,4,yes,4.0,A320
Family Leisure,Business Class,Moscow to London Heathrow,August 2021,4.0,1.0,2.0,3.0,1.0,1,no,,
Business,Business Class,London Heathrow to Munich,August 2021,3.0,2.0,2.0,,1.0,2,no,,
Couple Leisure,Business Class,London Heathrow to Nice,July 2021,3.0,4.0,5.0,,3.0,3,no,,A330
Family Leisure,Economy Class,London to Hong Kong,April 2021,,,,,,1,no,,
Solo Leisure,Premium Economy,Belfast to Budapest via Heathrow,July 2021,1.0,1.0,,,1.0,1,no,,A230
Family Leisure,Business Class,Cancun to Gatwick,July 2021,4.0,5.0,5.0,4.0,4.0,4,yes,4.0,Boeing 777-200
Family Leisure,Business Class,Gatwick to Cancun,July 2021,5.0,5.0,4.0,4.0,4.0,5,yes,4.0,Boeing 777-200
Family Leisure,Economy Class,,July 2021,,,,,,1,no,,
Family Leisure,Economy Class,Bucharest to Toronto via London,July 2021,3.0,3.0,,,1.0,2,no,,
Business,Business Class,Seattle to Bangalore via London,June 2021,3.0,4.0,,,3.0,3,yes,,
Solo Leisure,Business Class,London to Mexico City,June 2021,1.0,2.0,3.0,3.0,3.0,1,no,1.0,Boeing 787
Couple Leisure,Business Class,Preveza to London,June 2021,4.0,3.0,3.0,,5.0,4,yes,,A320
Solo Leisure,Economy Class,London to Accra,June 2021,4.0,4.0,4.0,4.0,4.0,4,yes,,
Couple Leisure,Business Class,London Heathrow to Preveza,May 2021,4.0,4.0,4.0,,5.0,4,yes,,A320
Family Leisure,Economy Class,Durban to Cape Town,January 2021,3.0,3.0,,,3.0,1,no,,
Solo Leisure,Economy Class,Aberdeen to London Heathrow,May 2021,4.0,5.0,4.0,3.0,4.0,4,yes,5.0,A321NEO
Business,Business Class,Malaga to London,April 2021,3.0,3.0,,,4.0,4,yes,,
Solo Leisure,Economy Class,Johannesburg to Cape Town,April 2021,4.0,5.0,4.0,,5.0,4,yes,,Boeing 737-800
Solo Leisure,Economy Class,Gatwick to Cancun,December 2020,2.0,4.0,1.0,3.0,3.0,1,no,,
Couple Leisure,Economy Class,Bridgetown to London,February 2021,1.0,1.0,1.0,,1.0,1,no,,
Family Leisure,Economy Class,Ottawa to Ahmedabad,November 2020,1.0,1.0,,,1.0,1,no,,
Solo Leisure,Economy Class,Antigua to London,January 2021,2.0,2.0,,,1.0,1,no,,
Solo Leisure,Economy Class,Sofia to London Heathrow,December 2020,5.0,5.0,5.0,5.0,5.0,3,no,5.0,
Solo Leisure,Economy Class,Mumbai to London,February 2021,5.0,5.0,5.0,5.0,4.0,5,yes,,
Business,First Class,Mexico City to London Heathrow,January 2021,2.0,5.0,1.0,2.0,3.0,3,no,1.0,Boeing 787-9
Family Leisure,Economy Class,London to Maldives,December 2020,,,,,,1,no,,
Solo Leisure,Economy Class,Heathrow to Belfast,December 2020,5.0,4.0,4.0,,5.0,3,yes,1.0,
Solo Leisure,Economy Class,London to Paris,September 2020,5.0,5.0,,,5.0,5,yes,,
