Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Wifi & Connectivity,Aircraft
Solo Leisure,Premium Economy,Miami to Tel Aviv via London,October 2018,5.0,5.0,5.0,5.0,5.0,5,yes,5.0,
Business,Premium Economy,London to Seoul,February 2019,5.0,4.0,3.0,3.0,2.0,4,yes,,Boeing 787-9
Family Leisure,Premium Economy,London to New York JFK,February 2019,4.0,5.0,4.0,5.0,5.0,4,yes,3.0,Boeing 747-400
Couple Leisure,Business Class,San Diego to London,February 2019,4.0,1.0,2.0,,4.0,2,no,,
Business,Business Class,Gatwick to St Lucia,February 2019,4.0,4.0,4.0,4.0,3.0,3,yes,,Boeing 777
Solo Leisure,Economy Class,London to Chennai,March 2018,5.0,5.0,5.0,5.0,5.0,5,yes,5.0,
Business,Economy Class,London to Tampa,January 2019,4.0,4.0,4.0,5.0,1.0,2,no,,
Couple Leisure,Economy Class,Baltimore to London Heathrow,February 2019,1.0,1.0,1.0,1.0,2.0,2,no,,Boeing 787
Solo Leisure,First Class, Bridgetown to Gatwick,November 2018,2.0,4.0,3.0,3.0,3.0,1,no,1.0,
Couple Leisure,Economy Class,London to Athens,December 2018,3.0,5.0,1.0,1.0,1.0,2,no,1.0,A320
Solo Leisure,Economy Class,Amsterdam to London,February 2019,2.0,1.0,1.0,,2.0,1,no,,
Couple Leisure,Premium Economy,New Orleans to London,September 2018,5.0,4.0,5.0,5.0,4.0,5,yes,,Boeing 787
Couple Leisure,Business Class,Tokyo Narita to London Heathrow,January 2019,4.0,3.0,5.0,5.0,5.0,4,yes,,Boeing 787-9
Couple Leisure,First Class,London to Tokyo Haneda,January 2019,5.0,5.0,5.0,5.0,5.0,4,yes,,Boeing 777
Solo Leisure,Economy Class,London to Billund,February 2019,5.0,5.0,,,5.0,5,yes,,
Business,Premium Economy,San Diego to Frankfurt via London,February 2019,3.0,3.0,3.0,1.0,1.0,2,no,3.0,
Couple Leisure,Economy Class,Edinburgh to London Gatwick,January 2019,3.0,4.0,,,5.0,4,yes,,A320
Business,Business Class,Geneva to Philadelphia via London,February 2019,2.0,3.0,1.0,1.0,1.0,1,no,,
Family Leisure,Economy Class,London Heathrow to Paris CDG,November 2018,3.0,4.0,4.0,2.0,4.0,4,yes,1.0,A320
Family Leisure,Business Class,Johannesburg to London,February 2019,3.0,3.0,3.0,4.0,3.0,3,yes,4.0,A380
Solo Leisure,Economy Class,Edinburgh to Bangalore via Heathrow,February 2019,3.0,1.0,3.0,1.0,1.0,1,no,1.0,
Solo Leisure,Economy Class,Berlin to Johannesburg via London,March 2018,3.0,3.0,2.0,3.0,4.0,4,yes,,A380 / A319
Family Leisure,Economy Class,New York JFK to London Heathrow,August 2018,3.0,4.0,3.0,2.0,3.0,3,yes,1.0,Boeing 777
Business,Economy Class,London to Milan ,November 2018,3.0,4.0,2.0,,4.0,2,no,1.0,
Couple Leisure,Economy Class,New York to London via Geneva,January 2019,2.0,1.0,4.0,3.0,4.0,2,no,,
Couple Leisure,First Class,Johannesburg to London ,January 2019,4.0,3.0,3.0,3.0,3.0,3,yes,3.0,A380
Couple Leisure,Business Class,London to Johannesburg ,January 2019,3.0,4.0,4.0,3.0,3.0,3,yes,,A380
Family Leisure,Business Class,London to Johannesburg,January 2019,4.0,5.0,4.0,5.0,4.0,4,yes,4.0,A380
Business,Business Class,London to Dublin,January 2019,5.0,5.0,5.0,,2.0,5,yes,,A320
Couple Leisure,Premium Economy,Bermuda to Gatwick,January 2019,1.0,1.0,1.0,1.0,3.0,1,no,1.0,Boeing 777
Business,Business Class,Kuala Lumpur to Miami via London,January 2019,2.0,2.0,1.0,,2.0,3,no,,
Solo Leisure,Economy Class,Zurich to Heathrow,January 2019,1.0,4.0,,1.0,1.0,2,no,1.0,A321-200
Solo Leisure,Premium Economy,Miami to London,January 2019,3.0,4.0,1.0,3.0,3.0,3,no,3.0,A380
Solo Leisure,Economy Class,Copenhagen to Amsterdam via London Heathrow,February 2018,5.0,5.0,,,2.0,5,yes,,A321
Couple Leisure,Premium Economy,Antigua to Gatwick,January 2019,1.0,2.0,2.0,3.0,4.0,1,no,,Boeing 777-200
Solo Leisure,Economy Class,Bucharest to London Heathrow to Los Angeles,January 2019,1.0,5.0,2.0,1.0,5.0,1,no,1.0,Boeing 787
Business,Business Class,London to Miami,January 2019,1.0,2.0,1.0,1.0,3.0,1,no,,Boeing 747
Business,Premium Economy,London to Calgary,June 2018,3.0,3.0,3.0,4.0,4.0,2,yes,3.0,Boeing 787 Dreamliner
Business,Premium Economy,Calgary to London,June 2018,3.0,4.0,3.0,3.0,3.0,2,no,3.0,Boeing 787
Business,Premium Economy,Bangalore to London,January 2019,2.0,2.0,2.0,1.0,2.0,1,no,,Boeing 777-200
Solo Leisure,Economy Class,Barcelona to New York via London,November 2018,2.0,2.0,1.0,2.0,1.0,1,no,,
Solo Leisure,Economy Class,Gatwick to Fort Lauderdale,December 2018,2.0,3.0,3.0,,3.0,2,no,,
Couple Leisure,Economy Class,London to Bologna,December 2018,3.0,4.0,,,1.0,1,no,,
Couple Leisure,Economy Class,Venice to London City,October 2018,5.0,5.0,4.0,,5.0,5,yes,,
Couple Leisure,Economy Class,San Francisco to London,January 2019,1.0,1.0,1.0,1.0,1.0,1,no,,777
Solo Leisure,Economy Class,Heathrow to Vancouver,October 2018,4.0,4.0,3.0,2.0,4.0,1,no,,Boeing 747
Solo Leisure,Economy Class,London to Bucharest,January 2019,1.0,4.0,1.0,1.0,5.0,3,no,,A320
Business,Economy Class,Stuttgart to London,October 2018,1.0,1.0,,,1.0,1,no,,A319
Couple Leisure,Economy Class,London to Boston,December 2018,1.0,5.0,4.0,4.0,4.0,4,yes,,Boeing 777-200
Couple Leisure,Economy Class,Boston to London,December 2018,2.0,3.0,5.0,5.0,4.0,4,yes,,Boeing 747-400
Couple Leisure,Economy Class,London to Athens,December 2018,4.0,1.0,,,2.0,4,no,,Airbus A320
Couple Leisure,Economy Class,London to Johannesburg,January 2019,5.0,5.0,5.0,5.0,5.0,5,yes,,A380
Solo Leisure,Premium Economy,Newark to Bangalore via London,December 2018,4.0,4.0,4.0,4.0,4.0,3,yes,,Boeing 787-9 / 777 
Solo Leisure,Economy Class,London to Berlin,December 2018,,,,,1.0,3,no,,
Solo Leisure,Economy Class,London to Mumbai,December 2018,5.0,5.0,5.0,3.0,5.0,4,yes,,Boeing 777
Solo Leisure,Premium Economy,Athens to Los Angeles via London,December 2018,2.0,4.0,3.0,2.0,2.0,1,no,,
Family Leisure,Economy Class,Heathrow to Sydney via Singapore,December 2018,1.0,3.0,2.0,1.0,2.0,2,no,1.0,Boeing 777
Solo Leisure,Economy Class,Leeds Bradford to London Heathrow,December 2018,3.0,5.0,,,5.0,4,yes,,A319
Solo Leisure,Economy Class,Gatwick to Tenerife,December 2018,1.0,3.0,4.0,,5.0,3,no,,A320
Couple Leisure,Premium Economy,Denver to Paris via London,December 2018,,,,,,1,no,,
Couple Leisure,Business Class,Johannesburg to London,November 2018,1.0,1.0,1.0,3.0,2.0,1,no,,A380
Solo Leisure,Economy Class,London to Kuala Lumpur,December 2018,1.0,4.0,3.0,1.0,5.0,1,no,,Boeing 787
Solo Leisure,Economy Class,Los Angeles to London Heathrow,December 2018,2.0,2.0,1.0,4.0,1.0,2,no,,Boeing 747
Business,Economy Class,Seattle to London,November 2018,,,,,,1,no,,
Couple Leisure,First Class,Gatwick to Barbados,December 2018,2.0,5.0,2.0,2.0,3.0,3,no,,Boeing 777-200
Solo Leisure,First Class,Moscow to London,December 2018,5.0,5.0,5.0,5.0,5.0,5,yes,,Boeing 787-9
Solo Leisure,Economy Class,Johannesburg to London ,December 2018,3.0,2.0,3.0,2.0,3.0,3,no,,
Couple Leisure,Business Class,Bridgetown to Gatwick,December 2018,1.0,1.0,2.0,,2.0,1,no,,Boeing 777
Couple Leisure,Economy Class,Glasgow to New York via London,December 2018,4.0,5.0,5.0,5.0,4.0,4,yes,2.0,A319 / Boeing 777
Business,Business Class,Sydney to London via Singapore,December 2018,1.0,1.0,1.0,1.0,2.0,1,no,,Boeing 777
Couple Leisure,First Class,Johannesburg to London,December 2018,4.0,3.0,3.0,2.0,3.0,3,no,,A380
Business,Business Class,Antigua to Gatwick,December 2018,2.0,1.0,1.0,,3.0,2,no,,Boeing 777
Couple Leisure,First Class,Gatwick to Barbados,December 2018,2.0,2.0,2.0,1.0,1.0,1,no,,Boeing 777
Couple Leisure,Business Class,Cape Town to London,November 2018,2.0,1.0,1.0,3.0,3.0,1,no,,Boeing 747-400
Couple Leisure,Economy Class,Bucharest to London,December 2018,1.0,1.0,,,1.0,1,no,,A320
Business,Economy Class,Kuala Lumpur to Mexico City via London,December 2018,4.0,5.0,4.0,4.0,5.0,5,yes,3.0,
Family Leisure,Economy Class,Miami to London,December 2018,1.0,1.0,1.0,1.0,3.0,1,no,,Boeing 747-400
Solo Leisure,Premium Economy,London Gatwick to Tampa,November 2018,5.0,5.0,5.0,3.0,5.0,5,yes,,
Couple Leisure,Economy Class,Bordeaux to London Gatwick,July 2018,3.0,2.0,,,1.0,1,no,,
Family Leisure,Economy Class,Los Angeles to Rome via London,October 2018,,,,,,1,no,,
Family Leisure,Economy Class,Gatwick to Las Vegas,December 2018,3.0,4.0,4.0,1.0,4.0,4,yes,3.0,
Couple Leisure,Premium Economy,Nassau to London,November 2018,2.0,3.0,1.0,1.0,3.0,1,no,,Boeing 777
Business,Business Class,Phoenix to Accra via London,November 2018,5.0,5.0,5.0,3.0,5.0,5,yes,,Boeing 747
Solo Leisure,Economy Class,Manchester to London,November 2018,3.0,1.0,,,1.0,2,no,,
Solo Leisure,Economy Class,San Diego to Hannover via London,November 2018,2.0,4.0,4.0,4.0,2.0,2,no,,Boeing 777
Business,Economy Class,London Heathrow to Stuttgart,November 2018,1.0,,,,1.0,1,no,,
Couple Leisure,First Class,London to Johannesburg,November 2018,5.0,5.0,5.0,4.0,4.0,4,yes,,A380
Business,Business Class,London to Dubai,November 2018,4.0,5.0,4.0,1.0,4.0,1,no,1.0,
Family Leisure,Economy Class,Vancouver to London Heathrow,November 2018,5.0,5.0,4.0,2.0,5.0,4,yes,,Boeing 747-400
Solo Leisure,Economy Class,Boston to Nairobi via London,October 2018,3.0,1.0,1.0,,3.0,3,no,,
Solo Leisure,Premium Economy,Basel to San Fransisco via Heathrow,November 2018,2.0,3.0,2.0,3.0,5.0,2,no,,Boeing 747
Solo Leisure,Economy Class,London to Lyon,November 2018,2.0,1.0,,,1.0,1,no,,
Business,Economy Class,London to Boston,November 2018,3.0,5.0,4.0,4.0,4.0,5,yes,1.0,
Solo Leisure,Business Class,Stockholm to London,November 2018,3.0,5.0,2.0,,1.0,3,yes,,A320
Business,Economy Class,Amsterdam to London,November 2018,4.0,4.0,,,1.0,3,no,,
Couple Leisure,Economy Class,Buenos Aires to London,November 2018,1.0,2.0,1.0,1.0,1.0,1,no,,Boeing 777-200
Business,Business Class,Riyadh to London,November 2018,1.0,2.0,2.0,3.0,3.0,1,no,,Boeing 777
Solo Leisure,Economy Class,Aberdeen to London,November 2018,,,,,1.0,1,no,,A319
Family Leisure,Economy Class,Singapore to Sydney,November 2018,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Family Leisure,Economy Class,London to Budapest,November 2018,5.0,1.0,,,5.0,5,no,,A320
Solo Leisure,Economy Class,London to Athens,October 2018,4.0,3.0,2.0,2.0,3.0,3,yes,1.0,A321
Solo Leisure,Business Class,London to Bangkok,October 2018,3.0,3.0,2.0,1.0,3.0,2,no,1.0,Boeing 777-200
Solo Leisure,Economy Class,Abu Dhabi to London,October 2018,2.0,1.0,1.0,1.0,3.0,3,no,1.0,A340-300
Business,Business Class,Gatwick to Orlando,October 2018,1.0,2.0,3.0,1.0,2.0,1,no,1.0,Boeing 777
Solo Leisure,Business Class,Newcastle to Las Vegas via London,October 2018,4.0,4.0,4.0,3.0,4.0,5,yes,,A319 / Boeing 747
Solo Leisure,Economy Class,St Petersburg to London,October 2018,5.0,5.0,3.0,,5.0,3,yes,,A320
Business,Business Class,London to Philadelphia,October 2018,1.0,1.0,2.0,3.0,2.0,1,no,,Boeing 787-9
Business,Business Class,Madrid to London,October 2018,4.0,5.0,4.0,,4.0,4,yes,,Boeing 777-200
Family Leisure,Economy Class,London to Munich,October 2018,2.0,3.0,,,3.0,3,yes,,A321
Couple Leisure,Economy Class,London to Cape Town,October 2018,2.0,1.0,2.0,,1.0,1,no,,Boeing 747-400
Family Leisure,Economy Class,Munich to London Heathrow,October 2018,2.0,4.0,,,5.0,3,yes,,A321
Solo Leisure,First Class,Manchester to Philadelphia via London,October 2018,5.0,5.0,4.0,4.0,5.0,5,yes,,A319 / Boeing 747-400
Business,Economy Class,Bangkok to London,October 2018,3.0,2.0,2.0,3.0,1.0,2,no,,Boieng 777-200
Solo Leisure,Economy Class,London to Toronto,October 2018,1.0,3.0,3.0,2.0,2.0,1,no,,Boeing 777
Business,Economy Class,London to Vienna,October 2018,2.0,3.0,,,2.0,2,no,,A320
Business,Business Class,Johannesburg to London,October 2018,2.0,2.0,1.0,1.0,4.0,2,no,,A380
Solo Leisure,Business Class,Singapore to London Heathrow,September 2018,4.0,5.0,3.0,2.0,3.0,3,yes,,Boeing 777-300ER
Couple Leisure,Business Class,London to Los Angeles,August 2018,1.0,1.0,1.0,1.0,3.0,3,no,1.0,Boeing 747-400
Solo Leisure,Premium Economy,Miami to London Heathrow,September 2018,1.0,5.0,3.0,2.0,1.0,2,no,,Boeing 747
Couple Leisure,Business Class,London Heathrow to Milan Malpensa,October 2018,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Couple Leisure,First Class,Calgary to Rome via London,September 2018,4.0,1.0,1.0,,1.0,1,no,,
Solo Leisure,Economy Class,London to Bangkok,March 2018,1.0,3.0,2.0,1.0,4.0,1,no,,
Family Leisure,Economy Class,London Heathrow to Miami,August 2018,5.0,5.0,5.0,4.0,4.0,5,yes,,Boeing 747-400
Solo Leisure,Economy Class,London to Singapore,September 2018,5.0,5.0,5.0,4.0,4.0,5,yes,,A380
Solo Leisure,Economy Class,Dublin to London,September 2018,1.0,1.0,,,1.0,1,no,,
Family Leisure,Business Class,London to Pisa,September 2018,1.0,4.0,4.0,,4.0,1,no,,A321
Family Leisure,Economy Class,Prague to Heathrow,August 2018,1.0,3.0,,,1.0,1,no,,
Business,Premium Economy,Kuala Lumpur to London Heathrow,September 2018,3.0,4.0,3.0,3.0,5.0,4,yes,,"Boeing 787-9, A380"
Couple Leisure,Business Class,Los Angeles to Leeds via London Heathrow ,June 2018,4.0,4.0,4.0,3.0,1.0,3,no,2.0,A319
Couple Leisure,Business Class,Brindisi to London,September 2018,1.0,2.0,2.0,,1.0,2,no,,A320
Couple Leisure,Premium Economy,Chicago to London,September 2018,1.0,1.0,1.0,1.0,3.0,1,no,,A380
Family Leisure,Economy Class,Berlin to London,September 2018,2.0,2.0,,,2.0,1,no,,
Solo Leisure,Premium Economy,Riyadh to London ,August 2018,5.0,5.0,5.0,4.0,3.0,5,yes,,Boeing 777
Couple Leisure,Economy Class,Rome to Newark via London,September 2018,4.0,4.0,3.0,3.0,4.0,3,yes,,A320 / Boeing 787-9
Business,Business Class,London Heathrow to New York JFK,September 2018,3.0,4.0,2.0,3.0,1.0,3,no,5.0,Boeing 747-400
Couple Leisure,First Class,London Heathrow to Dubai,September 2018,4.0,5.0,5.0,3.0,4.0,4,yes,2.0,Boeing 777-200
Couple Leisure,Economy Class,Heraklion to Gatwick,September 2018,2.0,2.0,,,1.0,1,no,,A320
Solo Leisure,Business Class,Madrid to London Heathrow,September 2018,3.0,5.0,5.0,,5.0,5,yes,,Boeing 767
Couple Leisure,Business Class,London Heathrow to Brindisi,September 2018,2.0,3.0,2.0,,2.0,3,no,,A321
Business,Economy Class,London to Madrid,July 2018,2.0,3.0,1.0,,2.0,2,no,,A320
Couple Leisure,Economy Class,Hamburg to London,September 2018,3.0,1.0,,,1.0,3,no,,
Solo Leisure,Premium Economy,Glasgow to Miami via London,August 2018,3.0,5.0,5.0,2.0,4.0,4,yes,,Boeing 747
Solo Leisure,Economy Class,London Heathrow to Budapest,August 2018,5.0,5.0,,,4.0,4,yes,,Airbus A32
Solo Leisure,Economy Class,Budapest to London Heathrow,September 2018,4.0,4.0,,,5.0,4,yes,,A320
Family Leisure,Business Class,Pisa to Toronto via London,September 2018,4.0,5.0,5.0,4.0,5.0,5,yes,,A319 / Boeing 787-9
Business,Business Class,Madrid to Heathrow,August 2018,1.0,1.0,2.0,,2.0,2,no,,
Solo Leisure,Economy Class,Singapore to London,August 2018,1.0,1.0,3.0,3.0,2.0,1,no,,
Solo Leisure,Economy Class,Washington to Frankfurt via London,August 2018,3.0,3.0,2.0,1.0,4.0,2,no,,Boeing 747-400 / A319
Family Leisure,Economy Class,Rome to London,August 2018,3.0,3.0,,,3.0,2,no,,
Solo Leisure,Economy Class,London Heathrow to Hong Kong,August 2018,5.0,5.0,3.0,5.0,4.0,3,yes,,A380
Solo Leisure,Economy Class,London Heathrow to Düsseldorf,August 2018,5.0,4.0,,,5.0,4,yes,,A318
Couple Leisure,Business Class,London to Athens,August 2018,1.0,3.0,2.0,1.0,2.0,3,no,1.0,A320
Family Leisure,First Class,London Heathrow to Singapore,July 2018,5.0,5.0,5.0,4.0,5.0,5,yes,,A380
Couple Leisure,Premium Economy,Philadelphia to London,August 2018,3.0,1.0,1.0,3.0,4.0,3,no,,Boeing 787
Family Leisure,Economy Class,London to Las Vegas,July 2018,1.0,1.0,1.0,1.0,1.0,1,no,,Boeing 747-400
Business,Business Class,Zagreb to London,August 2018,2.0,2.0,1.0,,2.0,2,no,,
Family Leisure,Business Class,Los Angeles to Milan via London,August 2018,4.0,3.0,3.0,3.0,1.0,1,no,,A380
Solo Leisure,Premium Economy,Toronto to London,August 2018,3.0,5.0,2.0,2.0,4.0,3,yes,,Boeing 777
Couple Leisure,Business Class,San Francisco to London Heathrow,July 2018,4.0,5.0,4.0,1.0,4.0,4,no,,A380
Solo Leisure,Economy Class,London to Dublin,August 2018,5.0,5.0,2.0,,4.0,3,yes,,
Couple Leisure,Economy Class,London to Paris,January 2018,3.0,5.0,5.0,,4.0,3,yes,,A321
Couple Leisure,Economy Class,Amsterdam to London,June 2018,3.0,5.0,4.0,,4.0,4,yes,,A320
Solo Leisure,First Class,New York JFK to London,August 2018,4.0,5.0,3.0,,5.0,4,no,,Boeing 777
Couple Leisure,Economy Class,Amman to London,April 2018,2.0,1.0,1.0,1.0,1.0,1,no,,
Couple Leisure,Business Class,Paphos to Gatwick,July 2018,3.0,5.0,3.0,,1.0,3,no,,A320
Couple Leisure,Business Class,Gatwick to Paphos,July 2018,3.0,5.0,4.0,,4.0,4,yes,,A320
Family Leisure,Business Class,New York to Nairobi via London,July 2018,2.0,5.0,2.0,2.0,2.0,2,no,,Boeing 747-400
Business,Economy Class,Istanbul to London Heathrow,July 2018,1.0,1.0,,1.0,1.0,1,no,,
Family Leisure,Economy Class,Heathrow to Milan,July 2018,3.0,2.0,,,1.0,1,no,,
Business,Premium Economy,London to Santiago de Chile,July 2018,4.0,5.0,4.0,4.0,4.0,5,yes,,Boeing 787-9
Couple Leisure,Business Class,London Heathrow to Seattle Tacoma,July 2018,4.0,4.0,4.0,2.0,4.0,4,no,,Boeing 777
Family Leisure,Economy Class,London Gatwick to Tirana Rinas,July 2018,4.0,4.0,3.0,,5.0,3,yes,,A320-200
Couple Leisure,Economy Class,London to Murcia ,July 2018,5.0,5.0,5.0,,3.0,5,yes,,A320
Solo Leisure,Business Class,London to Amsterdam,July 2018,3.0,4.0,3.0,,1.0,1,no,,A321
Family Leisure,Economy Class,Aberdeen to Abu Dhabi via London,July 2018,3.0,1.0,1.0,4.0,1.0,3,no,,Boeing 777
Solo Leisure,Economy Class,Prague to Denver via London,June 2018,3.0,5.0,5.0,3.0,1.0,2,no,,A320 / Boeing 747-400
Couple Leisure,Economy Class,Seville to Gatwick,July 2018,2.0,1.0,1.0,,1.0,3,no,,A319
Solo Leisure,Economy Class,London to Amsterdam,July 2018,1.0,1.0,,,1.0,1,no,,
Couple Leisure,Business Class,Gatwick to Barcelona ,July 2018,1.0,3.0,1.0,,4.0,1,no,,
Business,Premium Economy,HKG to LHR,June 2018,4.0,5.0,4.0,5.0,5.0,4,yes,3.0,Boeing 777 / A380
Solo Leisure,Business Class,Faro to Gatwick,July 2018,3.0,2.0,4.0,,3.0,4,yes,,A320
Solo Leisure,Business Class,Gatwick to Faro,July 2018,3.0,4.0,3.0,,5.0,4,yes,,A320
Solo Leisure,First Class,Jeddah to Chicago via London,May 2018,4.0,5.0,4.0,5.0,1.0,5,no,4.0,Boeing 787-9 / A380-800
Business,Business Class,London to Frankfurt,July 2018,1.0,1.0,1.0,,1.0,1,no,,
Solo Leisure,Business Class,Gatwick to Malaga,July 2018,4.0,5.0,5.0,,3.0,5,yes,,A321
Couple Leisure,Business Class,Bermuda to Gatwick,May 2018,4.0,3.0,1.0,4.0,4.0,2,yes,,Boeing 777-200
Business,Economy Class,Aberdeen to Boston via London,July 2018,2.0,4.0,4.0,5.0,4.0,3,yes,4.0,
Solo Leisure,Economy Class,London to Hamburg,June 2018,4.0,3.0,,,5.0,3,yes,,A319
Family Leisure,Premium Economy,London Heathrow to Hong Kong,July 2018,3.0,3.0,2.0,3.0,1.0,2,no,2.0,
Couple Leisure,Economy Class,London to Istanbul,June 2018,3.0,3.0,1.0,1.0,1.0,2,no,,
Solo Leisure,Economy Class,Munich to London Heathrow,July 2018,4.0,4.0,2.0,,5.0,3,yes,,A320
Couple Leisure,Business Class,Edinburgh-Florence ,July 2018,4.0,5.0,5.0,,5.0,5,yes,,
Solo Leisure,Economy Class,London Heathrow to Manchester,July 2018,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Couple Leisure,Economy Class,London to Madrid,July 2018,1.0,,,,1.0,1,no,,
Business,Business Class,London to Shanghai,June 2018,1.0,5.0,4.0,2.0,2.0,3,no,,Boeing 777
Family Leisure,Economy Class,London to Tehran,August 2017,1.0,1.0,1.0,,4.0,1,no,,Boeing 777
